date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,17.227777777777778,11.655555555555557,242.22222222222223,19.538888888888888,3.5999999999999996,28.944444444444443,0.165,0.0,2.761111111111111,,
2022-08-05,19.320833333333333,13.012500000000001,267.9166666666667,20.395833333333332,4.679166666666666,32.5,0.15833333333333335,0.0,2.3208333333333333,51.55555555555556,26.61111111111111
2022-08-06,19.716666666666665,13.525,279.4166666666667,26.825,4.4624999999999995,26.916666666666668,0.16333333333333333,0.0,1.1500000000000001,52.583333333333336,26.333333333333332
2022-08-07,16.941666666666666,11.545833333333334,258.6666666666667,21.604166666666668,4.325,44.541666666666664,0.14083333333333334,0.0,2.339583333333333,51.291666666666664,28.208333333333332
2022-08-08,13.512500000000001,9.0375,210.33333333333334,17.587500000000002,3.1916666666666664,44.458333333333336,0.12583333333333332,0.0,2.377083333333333,43.75,23.125
2022-08-09,10.7875,7.216666666666666,177.70833333333334,14.270833333333334,2.7125,46.916666666666664,0.11833333333333333,0.0,1.5645833333333332,32.75,19.083333333333332
2022-08-10,9.383333333333333,6.325,175.125,13.583333333333334,2.75,48.5,0.10583333333333333,0.0,1.8125,27.958333333333332,19.5
2022-08-11,12.154166666666667,8.2125,199.91666666666666,17.566666666666666,3.1750000000000003,41.875,0.13,0.0,1.3458333333333332,27.625,18.958333333333332
2022-08-12,17.341666666666665,11.933333333333332,267.375,25.28333333333333,4.295833333333333,39.833333333333336,0.18833333333333335,0.0,2.0708333333333333,45.208333333333336,23.75
2022-08-13,14.329166666666666,9.862499999999999,232.375,21.025000000000002,3.8541666666666665,42.25,0.17208333333333334,0.0,1.7583333333333335,46.708333333333336,24.0
